"yr","naics_code","employee_size","revenue_category","number_of_biz"
"2018","311","1","0","13"
"2018","311","1","1","70"
"2018","311","1","2","235"
"2018","311","1","3","2087"
"2018","311","1","4","166"
"2018","311","1","5","75"
"2018","311","1","6","28"
"2018","311","1","7","3"
"2018","311","1","8","0"
"2018","311","1","9","0"
"2018","311","1","10","0"
"2018","311","1","11","0"
"2018","311","1","12","0"
"2018","311","1","13","0"
"2018","311","1","88","2677"
"2018","311","2","0","0"
"2018","311","2","1","0"
"2018","311","2","2","0"
"2018","311","2","3","341"
"2018","311","2","4","84"
"2018","311","2","5","134"
"2018","311","2","6","48"
"2018","311","2","7","23"
"2018","311","2","8","1"
"2018","311","2","9","0"
"2018","311","2","10","0"
"2018","311","2","11","0"
"2018","311","2","12","0"
"2018","311","2","13","0"
"2018","311","2","88","631"
"2018","311","3","0","1"
"2018","311","3","1","0"
"2018","311","3","2","0"
"2018","311","3","3","0"
"2018","311","3","4","58"
"2018","311","3","5","9"
"2018","311","3","6","27"
"2018","311","3","7","27"
"2018","311","3","8","7"
"2018","311","3","9","5"
"2018","311","3","10","0"
"2018","311","3","11","0"
"2018","311","3","12","0"
"2018","311","3","13","0"
"2018","311","3","88","134"
"2018","311","4","0","0"
"2018","311","4","1","0"
"2018","311","4","2","0"
"2018","311","4","3","0"
"2018","311","4","4","0"
"2018","311","4","5","21"
"2018","311","4","6","1"
"2018","311","4","7","39"
"2018","311","4","8","24"
"2018","311","4","9","19"
"2018","311","4","10","1"
"2018","311","4","11","0"
"2018","311","4","12","0"
"2018","311","4","13","0"
"2018","311","4","88","105"
"2018","311","5","0","0"
"2018","311","5","1","0"
"2018","311","5","2","0"
"2018","311","5","3","0"
"2018","311","5","4","0"
"2018","311","5","5","0"
"2018","311","5","6","2"
"2018","311","5","7","0"
"2018","311","5","8","8"
"2018","311","5","9","13"
"2018","311","5","10","5"
"2018","311","5","11","3"
"2018","311","5","12","0"
"2018","311","5","13","0"
"2018","311","5","88","31"
"2018","311","6","0","1"
"2018","311","6","1","0"
"2018","311","6","2","0"
"2018","311","6","3","0"
"2018","311","6","4","0"
"2018","311","6","5","0"
"2018","311","6","6","0"
"2018","311","6","7","1"
"2018","311","6","8","2"
"2018","311","6","9","6"
"2018","311","6","10","2"
"2018","311","6","11","5"
"2018","311","6","12","0"
"2018","311","6","13","0"
"2018","311","6","88","17"
"2018","311","7","0","0"
"2018","311","7","1","0"
"2018","311","7","2","0"
"2018","311","7","3","0"
"2018","311","7","4","0"
"2018","311","7","5","0"
"2018","311","7","6","0"
"2018","311","7","7","0"
"2018","311","7","8","0"
"2018","311","7","9","1"
"2018","311","7","10","1"
"2018","311","7","11","4"
"2018","311","7","12","0"
