"yr","naics_code","naics_code_descr","revenue_category","employee_size","number_of_biz"
"2018","311","Food Manufacturing","NA","1-4","13"
"2018","311","Food Manufacturing","Less than $100K","1-4","70"
"2018","311","Food Manufacturing","$100K-$200K","1-4","235"
"2018","311","Food Manufacturing","$200K-$500K","1-4","2087"
"2018","311","Food Manufacturing","$500K-$1M","1-4","166"
"2018","311","Food Manufacturing","$1M-$2.5M","1-4","75"
"2018","311","Food Manufacturing","$2.5M-$5M","1-4","28"
"2018","311","Food Manufacturing","$5M-$10M","1-4","3"
"2018","311","Food Manufacturing","$10M-$20M","1-4","0"
"2018","311","Food Manufacturing","$20M-$50M","1-4","0"
"2018","311","Food Manufacturing","$50M-$100M","1-4","0"
"2018","311","Food Manufacturing","$100M-$500M","1-4","0"
"2018","311","Food Manufacturing","$500M-$1B","1-4","0"
"2018","311","Food Manufacturing","Over $1B","1-4","0"
"2018","311","Food Manufacturing","Total","1-4","2677"
"2018","311","Food Manufacturing","NA","5-9","0"
"2018","311","Food Manufacturing","Less than $100K","5-9","0"
"2018","311","Food Manufacturing","$100K-$200K","5-9","0"
"2018","311","Food Manufacturing","$200K-$500K","5-9","341"
"2018","311","Food Manufacturing","$500K-$1M","5-9","84"
"2018","311","Food Manufacturing","$1M-$2.5M","5-9","134"
"2018","311","Food Manufacturing","$2.5M-$5M","5-9","48"
"2018","311","Food Manufacturing","$5M-$10M","5-9","23"
"2018","311","Food Manufacturing","$10M-$20M","5-9","1"
"2018","311","Food Manufacturing","$20M-$50M","5-9","0"
"2018","311","Food Manufacturing","$50M-$100M","5-9","0"
"2018","311","Food Manufacturing","$100M-$500M","5-9","0"
"2018","311","Food Manufacturing","$500M-$1B","5-9","0"
"2018","311","Food Manufacturing","Over $1B","5-9","0"
"2018","311","Food Manufacturing","Total","5-9","631"
"2018","311","Food Manufacturing","NA","10-19","1"
"2018","311","Food Manufacturing","Less than $100K","10-19","0"
"2018","311","Food Manufacturing","$100K-$200K","10-19","0"
"2018","311","Food Manufacturing","$200K-$500K","10-19","0"
"2018","311","Food Manufacturing","$500K-$1M","10-19","58"
"2018","311","Food Manufacturing","$1M-$2.5M","10-19","9"
"2018","311","Food Manufacturing","$2.5M-$5M","10-19","27"
"2018","311","Food Manufacturing","$5M-$10M","10-19","27"
"2018","311","Food Manufacturing","$10M-$20M","10-19","7"
"2018","311","Food Manufacturing","$20M-$50M","10-19","5"
"2018","311","Food Manufacturing","$50M-$100M","10-19","0"
"2018","311","Food Manufacturing","$100M-$500M","10-19","0"
"2018","311","Food Manufacturing","$500M-$1B","10-19","0"
"2018","311","Food Manufacturing","Over $1B","10-19","0"
"2018","311","Food Manufacturing","Total","10-19","134"
"2018","311","Food Manufacturing","NA","20-49","0"
"2018","311","Food Manufacturing","Less than $100K","20-49","0"
